3V2W	3V2W_A	S1PR1_HUMAN	Antagonist	285	NA
3UON	3UON_A	ACM2_HUMAN	Antagonist	313	NA
3VGA	3VGA_A	AA2AR_HUMAN	Antagonist	296	NA
3VG9	3VG9_A	AA2AR_HUMAN	Antagonist	297	NA
4A4M	4A4M_A	OPSD_BOVIN	Agonist	323	NA
3REY	3REY_A	AA2AR_HUMAN	Antagonist	283	NA
3PWH	3PWH_A	AA2AR_HUMAN	Inverse agonist	283	NA
3RFM	3RFM_A	AA2AR_HUMAN	Antagonist	283	NA
3AYM	3AYM_A	OPSD_TODPA	Agonist	350	NA
3AYM	3AYM_B	OPSD_TODPA	Agonist	347	NA
3AYN	3AYN_A	OPSD_TODPA	Inverse agonist	350	NA
3AYN	3AYN_B	OPSD_TODPA	Inverse agonist	347	NA
3SN6	3SN6_R	ADRB2_HUMAN	Agonist	290	NA
3RZE	3RZE_A	HRH1_HUMAN	Antagonist	303	NA
2YCY	2YCY_A	ADRB1_MELGA	Antagonist	279	NA
2YCW	2YCW_A	ADRB1_MELGA	Inverse agonist	289	NA
2YCX	2YCX_A	ADRB1_MELGA	Antagonist	279	NA
2YCZ	2YCZ_B	ADRB1_MELGA	Antagonist	283	NA
2YDV	2YDV_A	AA2AR_HUMAN	Agonist	302	NA
2YDO	2YDO_A	AA2AR_HUMAN	Agonist	297	NA
2Y01	2Y01_A	ADRB1_MELGA	Agonist (partial)	278	NA
2X72	2X72_A	OPSD_BOVIN	Agonist	323	NA
3PXO	3PXO_A	OPSD_BOVIN	Agonist	326	NA
3PQR	3PQR_A	OPSD_BOVIN	Agonist	326	NA
3QAK	3QAK_A	AA2AR_HUMAN	Agonist	289	NA
3OAX	3OAX_A	OPSD_BOVIN	Inverse agonist	348	NA
3P0G	3P0G_A	ADRB2_HUMAN	Agonist	282	Antibody
2Y04	2Y04_B	ADRB1_MELGA	Agonist (partial)	290	NA
2Y00	2Y00_B	ADRB1_MELGA	Agonist (partial)	290	NA
3PDS	3PDS_A	ADRB2_HUMAN	Agonist	293	NA
2Y02	2Y02_B	ADRB1_MELGA	Agonist	290	NA
2Y03	2Y03_B	ADRB1_MELGA	Agonist	290	NA
3PBL	3PBL_A	DRD3_HUMAN	Antagonist	294	NA
3ODU	3ODU_A	CXCR4_PANTR	Antagonist	295	NA
3OE9	3OE9_A	CXCR4_PANTR	Antagonist	266	NA
3OE0	3OE0_A	CXCR4_PANTR	Antagonist	271	NA
3OE8	3OE8_A	CXCR4_PANTR	Antagonist	271	NA
3OE6	3OE6_A	CXCR4_PANTR	Antagonist	273	NA
3NY8	3NY8_A	ADRB2_HUMAN	Inverse agonist	290	NA
3NYA	3NYA_A	ADRB2_HUMAN	Antagonist	290	NA
3NY9	3NY9_A	ADRB2_HUMAN	Inverse agonist	290	NA
3KJ6	3KJ6_A	ADRB2_HUMAN	N/A	222	NA
3EML	3EML_A	AA2AR_HUMAN	Antagonist	293	NA
3DQB	3DQB_A	OPSD_BOVIN	N/A	326	NA
3C9L	3C9L_A	OPSD_BOVIN	Inverse agonist	329	NA
3C9M	3C9M_A	OPSD_BOVIN	Inverse agonist	325	NA
2VT4	2VT4_B	ADRB1_MELGA	Antagonist	269	NA
3CAP	3CAP_A	OPSD_BOVIN	N/A	326	NA
3D4S	3D4S_A	ADRB2_HUMAN	Inverse agonist	290	NA
2Z73	2Z73_A	OPSD_TODPA	Inverse agonist	350	NA
2ZIY	2ZIY_A	OPSD_TODPA	Inverse agonist	369	NA
2R4R	2R4R_A	ADRB2_HUMAN	N/A	216	NA
2R4S	2R4S_A	ADRB2_HUMAN	N/A	216	NA
2RH1	2RH1_A	ADRB2_HUMAN	Inverse agonist	294	NA
2PED	2PED_A	OPSD_BOVIN	Inverse agonist	348	NA
2PED	2PED_B	OPSD_BOVIN	Inverse agonist	348	NA
2J4Y	2J4Y_A	OPSD_BOVIN	Inverse agonist	325	NA
2J4Y	2J4Y_B	OPSD_BOVIN	Inverse agonist	325	NA
2I35	2I35_A	OPSD_BOVIN	Inverse agonist	329	NA
2I37	2I37_A	OPSD_BOVIN	Inverse agonist	317	NA
2I36	2I36_A	OPSD_BOVIN	Inverse agonist	326	NA
2I36	2I36_B	OPSD_BOVIN	Inverse agonist	314	NA
2I36	2I36_C	OPSD_BOVIN	Inverse agonist	322	NA
2G87	2G87_A	OPSD_BOVIN	Agonist	348	NA
2G87	2G87_B	OPSD_BOVIN	Agonist	348	NA
2HPY	2HPY_A	OPSD_BOVIN	Agonist	348	NA
2HPY	2HPY_B	OPSD_BOVIN	Agonist	348	NA
1U19	1U19_A	OPSD_BOVIN	Inverse agonist	348	NA
1GZM	1GZM_A	OPSD_BOVIN	Inverse agonist	329	NA
1L9H	1L9H_A	OPSD_BOVIN	Inverse agonist	340	NA
1HZX	1HZX_A	OPSD_BOVIN	Inverse agonist	340	NA
1HZX	1HZX_B	OPSD_BOVIN	Inverse agonist	301	NA
1F88	1F88_A	OPSD_BOVIN	Inverse agonist	338	NA
1F88	1F88_B	OPSD_BOVIN	Inverse agonist	305	NA
